Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Oracle Fusion SCM Functional Lead,Oracle,8.0,25.0,"Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor's in Engineering or MBA with 5-10 years in EBS/Cloud implementations; SCM func...,"Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM, Functional, Cloud",3,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137
Autosar Security VIP : Mumbai / Bangalore Location : 8 To 12Yrs,Capgemini,8.0,31.0,"Bengaluru, Mumbai (All Areas)",Senior Engineer - AUTOSAR Security VIP : . 1) 10+ Years of experience in Automotive dom...,"BSW configuration, AUTOSAR, Secure Diagnostics, Secure flashing, Automotive domain, C++, HSM, C",1,https://www.naukri.com/job-listings-autosar-security-vip-mumbai-bangalore-location-8-to-12yrs-capgemini-bengaluru-mumbai-all-areas-8-to-12-years-181224011225
"Java Developer - Bangalore, Pune, Hyderabad, Nagpur",Tech Mahindra,5.0,11.0,"Hyderabad, Pune, Bangalore Rural","Skills: Java 1.8, Microservices, Spring bootLocation: BLR, Pune, HYD, NagpurExperience:...","Java 1.8, Springboot, Microservices, Bootstrap, J2Ee, Spring Boot, Java, Development",0,https://www.naukri.com/job-listings-java-developer-bangalore-pune-hyderabad-nagpur-tech-mahindra-hyderabad-pune-bangalore-rural-5-to-10-years-191224009348
Tech Mahindra Hiring Delivery sales/Delivery Business operation,Tech Mahindra,3.0,13.0,"Hyderabad, Pune, Bengaluru",Preferred candidate profile . .,"Delivery Sales Operations Management, Collate and compile delivery operational metrics, Operational Efficiency, Forecasting and Planning, Data Analysis and Reporting, Team Support and Training, working closely with BU heads, Performance Monitoring",1,https://www.naukri.com/job-listings-tech-mahindra-hiring-delivery-sales-delivery-business-operation-tech-mahindra-hyderabad-pune-bengaluru-3-to-8-years-181224017426
AX/D365 SCM (Supply Chain Management) Functional Consultant,Wipro,8.0,27.0,"Pune, Bengaluru, Delhi / NCR","AX Certification is a plusGood experience in requirement gathering, workshop, presentat...","D365, Supply Chain Management, SCM, Dynamics 365 Finance & Operations, Microsoft Dynamics, Shipping, Warehouse Management, Logistics",1,https://www.naukri.com/job-listings-ax-d365-scm-supply-chain-management-functional-consultant-wipro-pune-bengaluru-delhi-ncr-8-to-13-years-181224015727
Senior Software Engineer - Middleware :middleware development,Capgemini,5.0,15.0,"Pune, Bengaluru","Working experience in middleware development and Prior experience in Qualcomm SOC, Expe...","C/C++, Linux System Programming, Embedded Development, Automotive, System Programming, GIT, Linux, Gerrit",1,https://www.naukri.com/job-listings-senior-software-engineer-middleware-middleware-development-capgemini-pune-bengaluru-5-to-7-years-181224011389
BSP Developer : 9to 12Years in Pune / Bangalore,Capgemini,9.0,24.0,"Pune, Bengaluru","Experience working with different embedded microprocessor based on Qualcomm, TI, NXP, N...","BSP Firmware Engineer, Linux Kernel Programming, iMX chipset, Qualcomm Chipset, Linux Device Drivers, Embedded C++, BSP Developer, Embedded C",1,https://www.naukri.com/job-listings-bsp-developer-9to-12years-in-pune-bangalore-capgemini-pune-bengaluru-9-to-12-years-181224011073
"Audio Technical Lead Engineer : 13+Years in Bangalore, Pune",Capgemini,13.0,52.0,"Pune, Bengaluru",JD: Technical Lead Engineer Audio : Bangalore/ Pune 13+ years of experience in Embedd...,"Audio, IVI, Embedded SW development, Embedded C/C++, Audio framework, routing, Automotive Embedded Systems, TDM configuration",1,https://www.naukri.com/job-listings-audio-technical-lead-engineer-13-years-in-bangalore-pune-capgemini-pune-bengaluru-13-to-18-years-181224010734
Technical Lead - Fullstack .Net - Oracle CLoud Infrastructure,Citiustech,5.0,14.0,"Pune, Chennai, Mumbai (All Areas)","5-7 years experience in FullStack .NET with strong skills in C#, .NET Core, and Oracle ...","C#, oracle cloud infrastructure, Fullstack.Net, Web api, Oracle Cloud, .net core, SQL, Technical",16,https://www.naukri.com/job-listings-technical-lead-fullstack-net-oracle-cloud-infrastructure-citiustech-pune-chennai-mumbai-all-areas-5-to-8-years-031224008549
Job Opportunity in Dmart For Store Manager- Operations Role,DMart,7.0,16.0,"Pune, Ahmedabad, Mumbai (All Areas)",• Day to Day Smooth Store Operations• Timely Opening of Store & Adherence to all the pr...,"Manpower Management, Store Operations, Inventory Management, Customer Handling, Floor Management, Wastage Control, Management, Store management",1,https://www.naukri.com/job-listings-opportunity-in-dmart-for-store-manager-operations-role-dmart-pune-ahmedabad-mumbai-all-areas-7-to-12-years-181224016979
Manager/ Asst Manager- Mechanical Design,Wipro PARI,8.0,11.0,"Hyderabad, Pune, Bengaluru",*Candidates from Automation / Heavy Machinery background would only be preferredThe can...,"SPM, Power Train, Gantry, Material Handling Equipments, Conveyor Design, Assembly Line, Design, Mechanical",3,https://www.naukri.com/job-listings-manager-asst-manager-mechanical-design-wipro-pari-hyderabad-pune-bengaluru-8-to-13-years-161224010445
Oracle Fusion WMS Sr Consultant,Oracle,3.0,16.0,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, WMS, Fusion, Consulting, Oracle Fusion, Cloud, SR",3,https://www.naukri.com/job-listings-oracle-fusion-wms-sr-consultant-oracle-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-8-years-270824003604
Bilingual - QA/Java/SDLC understanding / 3+ Yrs/ N3 Certification,Tech Mahindra,3.0,4.0,"Hyderabad, Chennai, Bengaluru","N3 certification is Mandatory( in Japanese Language). . Location- Hyderabad, Chennai, B...","QA, N3 Certified, java, .net, SDLC Testing, Quality assurance, Certified, Software testing",2,https://www.naukri.com/job-listings-bilingual-qa-java-sdlc-understanding-3-yrs-n3-certification-tech-mahindra-hyderabad-chennai-bengaluru-3-to-7-years-171224018659
Job Opening For Manager Engineering - Bangalore Location,Schneider Electric,7.0,11.0,"Bangalore Rural, Bengaluru",We are hiring for Manager Engineering at Bangalore Location Position Overview:We are se...,"DevOps, System Design, Software Engineering, Industrial communication protocol, Management, Communication skills, Design, Engineering",0,https://www.naukri.com/job-listings-opening-for-manager-engineering-bangalore-location-schneider-electric-bangalore-rural-bengaluru-7-to-12-years-191224018392
Tech Mahindra Hiring 2 Wheeler EE Architect For Bangalore,Tech Mahindra,15.0,45.0,Bengaluru,"Minimum of 10-15 years in E / E system architecture and integration, with a demonstrabl...","Electric Vehicles, sizing, selection and integration, Automotive Electronics, vehicular E/E architectures, component modelling, Integration, Architecture",0,https://www.naukri.com/job-listings-tech-mahindra-hiring-2-wheeler-ee-architect-for-bangalore-tech-mahindra-bengaluru-15-to-24-years-191224018152
Electrical Design Engineer,Quest Global,3.0,7.0,Bengaluru(Devarabeesana Halli),Bachelor/Master in EEE/EE/E&I with 3-7 years of design experience in MV/LV systems|Prep...,"Equipment Layout, Equipment Installation, Cable Sizing, Voltage Drop, Cable Tray, Short Circuit, Electrical Design, Electrical engineering",1,https://www.naukri.com/job-listings-electrical-design-engineer-quest-global-bengaluru-3-to-7-years-181224010432
Civil Site Engineer - Bangalore,Lodha Group,3.0,5.0,Bengaluru,Hiring eligibility: . BE / BTech/Diploma in civil engineering (Full time) with 3+ years...,"Civil Engineering, High Rise Building, Civil Construction, Site Supervision, Site Execution, Site Engineering, Civil Works, Site Planning",2,https://www.naukri.com/job-listings-civil-site-engineer-bangalore-lodha-group-bengaluru-3-to-8-years-171224909631
Aix Administrator.,Infosys,9.0,6.0,"Pune, Chennai, Mumbai (All Areas)",Develop performance improvement initiatives for AIX system environment. Identify and re...,"Aix, Aix Administration, HP-Unix, Unix Administration, Aix Operating Systems, System, Unix, Operating systems",3,https://www.naukri.com/job-listings-aix-administrator-infosys-pune-chennai-mumbai-all-areas-9-to-13-years-161224012416
Looking For QA Automation with RPA UI path,Tech Mahindra,7.0,11.0,"Hyderabad, Pune, Bengaluru",Should have working experience in 7-9 years (Leading the team along with to do the QA t...,"Rpa, Automation Testing, UI path, Selenium, Software testing, QA automation, Quality assurance, Automation",7,https://www.naukri.com/job-listings-looking-for-qa-automation-with-rpa-ui-path-tech-mahindra-hyderabad-pune-bengaluru-7-to-10-years-211124005401
.net core with Azure - Bangalore,Tech Mahindra,7.0,11.0,"Hyderabad, Pune, Bangalore Rural",Experience required: 4 to 10 yrs Required skills : .NET6 or .NET 8 +Azure,"C#, Azure, .NET framework, .NET core, .NET framework Windows services, .NET core worker services, Framework, Core",10,https://www.naukri.com/job-listings-net-core-with-azure-bangalore-tech-mahindra-hyderabad-pune-bangalore-rural-7-to-11-years-081124007239
"Tech Mahindra Hiring in EV ( Power Electronics)-Pune ,Bangalore",Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Experience in SMPS / Switched mode power supply designs, Gate Driver Design and IGBT se...","Power electronics, Automotive, LIN, SMPS or Switched mode power supply designs, Gate Driver Design, DOORS, SABER and eADM, Analyzer",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-in-ev-power-electronics-pune-bangalore-tech-mahindra-pune-bengaluru-10-to-15-years-061224014965
Tech Mahindra Hiring EE Architecture- Bangalore & Pune,Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Bachelors in Computer Engineering, Computer Science, or Electrical EngineeringPreferred...","CAN, system topologies, components, interfaces, CANalyzer, Time Sensitive Networking -TSN, CANoe, Automotive Ethernet based communication protocols",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-ee-architecture-bangalore-pune-tech-mahindra-pune-bengaluru-10-to-17-years-061224010309
Tech Mahindra Hiring SDV Architect -Bangalore &Pune,Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Preferred candidate profile Experience with communication protocols such as CAN, SOME /...","C++, ADAS, Embedded, AWS IoT, Connected car, Service Oriented Architecture, OS QNX, LIN",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-sdv-architect-bangalore-pune-tech-mahindra-pune-bengaluru-10-to-16-years-061224010064
Site E&I Instrumentation Engineer-Fixed Term Contract,THERMAX,3.0,7.0,"Chennai, Bangalore/ Bengaluru, Mumbai (All Areas)","Role & responsibilities: Field Instruments calibration, Supervision & installation of J...","Boiler, Erection, Pre commissioning, Field Instrumentation, SWAS, CEMS, Instrumentation, Field",23,https://www.naukri.com/job-listings-site-e-i-instrumentation-engineer-fixed-term-contract-thermax-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-231023001484
QA QC,Lodha Group,4.0,9.0,"Bengaluru, Mumbai (All Areas)",Candidates should have 60% and above in 10th and 12th/ Diploma Liaison with Contractor...,"Quality, QC, Qa/Qc, Quality Control, Quality assurance, Quality assurance, Control",30,https://www.naukri.com/job-listings-qa-qc-lodha-group-bengaluru-mumbai-all-areas-4-to-9-years-191124017972
ICT Logistics Engineer - Data Center - Mumbai,CBRE,2.0,5.0,Mumbai(Lower Parel),Prepare assets for installation into production including but not limited to the follow...,"ICT logistics, logistics & inventory control, QIC inventory system, Control, ICT, Inventory System, System, Logistics",1,https://www.naukri.com/job-listings-ict-logistics-engineer-data-center-mumbai-cbre-mumbai-2-to-6-years-181224012713
ICT Engineer - Data Center - Mumbai,CBRE,2.0,5.0,Mumbai(Lower Parel),The operational requirements for customer sites are to be a member of the team covering...,"information & communication, ICT, ICT systems, Communication skills, Center, Data, Data center, System",1,https://www.naukri.com/job-listings-ict-engineer-data-center-mumbai-cbre-mumbai-2-to-6-years-181224012378
"MEP- Plumbing, Fire Fighting",Lodha Group,3.0,5.0,"Mumbai, Thane, Mumbai (All Areas)","Detailed engineering knowledge with design, engineering and installation experience in ...","MEP, Plumbing, Mechanical Engineering, Fire Fighting, Fighting, Mechanical, Fire, Engineering",2,https://www.naukri.com/job-listings-mep-plumbing-fire-fighting-lodha-group-mumbai-thane-mumbai-all-areas-3-to-8-years-171224909694
Finishing- Interior Finishing,Lodha Group,3.0,5.0,"Mumbai, Thane, Mumbai (All Areas)","Preferred candidate profile Experience in Clubhouse, entrance lobby and sample flats Ma...","Interior Finishing, Finishing, Bunglows, Villas, Interiors",2,https://www.naukri.com/job-listings-finishing-interior-finishing-lodha-group-mumbai-thane-mumbai-all-areas-3-to-8-years-171224909693
MEP Engineer,Lodha Group,3.0,5.0,"Thane, Navi Mumbai, Mumbai (All Areas)",Role & responsibilities Participate where required in all aspects of the project manage...,"MEP Execution, Plumbing, High Rise Building, Fire Fighting, Electrical Engineering, MEP, Fighting, Execution",2,https://www.naukri.com/job-listings-mep-engineer-lodha-group-thane-navi-mumbai-mumbai-all-areas-3-to-8-years-171224909661
Manager/Dy.Manager/ Associate Manager,Lodha Group,9.0,13.0,"Mumbai(Vikhroli), Thane, Mumbai (All Areas)",Hiring eligibility: . BE / BTech/Diploma in civil engineering (Full time) with 9+ years...,"Civil Engineering, High Rise Building, Civil Construction, Civil Project Management, Township, Site Supervision, Site Execution, Building Construction",2,https://www.naukri.com/job-listings-manager-dy-manager-associate-manager-lodha-group-mumbai-thane-mumbai-all-areas-9-to-14-years-171224909622
MEP Engineer / MEP Manager,Lodha Group,9.0,12.0,"Mumbai(Worli Seaface +1), Mumbai Suburban, Mumbai (All Areas)",Practice : 9+ years experience in real estate or construction company. Educational Qual...,"MEP Execution, Plumbing, High Rise Building, MEP, Fire Fighting, Electrical Engineering, Building, High Rise",0,https://www.naukri.com/job-listings-mep-engineer-mep-manager-lodha-group-mumbai-mumbai-suburban-mumbai-all-areas-9-to-14-years-061124007611
Senior Key Account Manager - 3PL Operations,Flipkart,2.0,12.0,Bengaluru,Experienced in last mile delivery and supply chain management with skills in Python and...,"Scm Operations, Advanced Excel, Supply Chain Management, Python, Delivery Operations, Last Mile, Advanced Analytics, Logistics Management",6,https://www.naukri.com/job-listings-senior-key-account-manager-3pl-operations-flipkart-bengaluru-2-to-3-years-131224016072
Python developer - Bangalore,Tech Mahindra,5.0,15.0,Bangalore Rural,"Mandatory Skill : Python, django, flask, fast APILocation : BangaloreJob type : Permane...","fast API, Django, Python, Flask, Python Development, API, Development",3,https://www.naukri.com/job-listings-python-developer-bangalore-tech-mahindra-bangalore-rural-5-to-10-years-131224014762
.Net core with Microservices and Azure,Tech Mahindra,7.0,20.0,Bangalore Rural,"Mandatory Skills : .NET MicroServices implementation using .NET Core Rest API, C#, OOPS...",".Net core, C#, OOPS, Rest api, Microservices, Azure, .Net, API",3,https://www.naukri.com/job-listings-net-core-with-microservices-and-azure-tech-mahindra-bangalore-rural-7-to-12-years-131224003664
"LTTS Hiring Teamcenter Developer 12+ Years, Bangalore /Chennai 21thDec",Larsen & Toubro (L&T),12.0,23.0,"Chennai, Bengaluru",Relevant experience - 5+ yearsTeamcenter customization and development experience with,"Plm Teamcenter, Teamcenter, teamcenter developer, PLM, Development, Hiring",7,https://www.naukri.com/job-listings-ltts-hiring-teamcenter-developer-12-years-bangalore-chennai-21thdec-larsen-toubro-l-t-chennai-bengaluru-12-to-17-years-121224014542
Golang Technical Lead,DMart,9.0,32.0,Bengaluru(Whitefield),Bachelor's degree in Computer Science; 7-13 years of experience in Golang development; ...,"Golang, Architecture, Low Level Design, API, High Level Design, Microservices Development, Design, Microservices",7,https://www.naukri.com/job-listings-golang-technical-lead-dmart-bengaluru-9-to-14-years-100924012001
Oracle Fusion SCM Sr Functional Consultant,Oracle,4.0,17.0,"Gandhinagar, Gujarat, Hyderabad/Secunderabad, Bangalore/Bengaluru",l Undergraduate degree or equivalent experience,"Oracle Fusion Scm, Fusion Scm, Scm Cloud, Fusion, Cloud, SCM, Oracle Fusion, Functional",3,https://www.naukri.com/job-listings-oracle-fusion-scm-sr-functional-consultant-oracle-gandhinagar-gujarat-hyderabad-secunderabad-bangalore-bengaluru-4-to-7-years-131023008443
Sourcing Specialist,Aligned Automation,8.0,15.0,"Pune, Bangalore Rural, Mumbai (All Areas)",Utilizes comprehensive and systemic market analysis for the goods / services procured t...,"Procurement, Inspection, Sourcing, Material Planning, Materials, Electricals, Civil, Purchase Planning",2,https://www.naukri.com/job-listings-sourcing-specialist-aligned-automation-pune-bangalore-rural-mumbai-all-areas-8-to-13-years-171224911068
Engineer / Senior Engineer - Testing and Commissioning - WALK IN DRIVE,Beratung Consultants,6.0,8.0,"Hyderabad, Pune, Mumbai (All Areas)",Location : Hyderabad / Mumbai /Bangalore / Pune . Qualification : Diploma / Graduate fr...,"Testing And Commissioning, Mechanical Engineering, Electrical Engineering, HVAC, HT Panels, MEP, Fire Fighting, Commissioning",1,https://www.naukri.com/job-listings-engineer-senior-engineer-testing-and-commissioning-walk-in-drive-beratung-consultants-hyderabad-pune-mumbai-all-areas-6-to-11-years-141124016553
Java PLSQL Support Engineer,Oracle,5.0,20.0,"Pune, Bengaluru, Mumbai (All Areas)","Bachelors degree in computer science engineering or a related field, or equivalent work...","Java, Application support, PLSQL, AppDynamics, Monitoring, Application",8,https://www.naukri.com/job-listings-java-plsql-support-engineer-oracle-pune-bengaluru-mumbai-all-areas-5-to-10-years-111224009884
Sr. Technical Specialist - MuleSoft,Citiustech,7.0,22.0,"Pune, Chennai, Mumbai (All Areas)","Role & responsibilities Design, develop, and implement integration solutions using Mul...","integration architect, Mulesoft, Mulesoft Integration, Technical, Integration Architecture, SR, Architecture, Mule ESB",10,https://www.naukri.com/job-listings-sr-technical-specialist-mulesoft-citiustech-pune-chennai-mumbai-all-areas-7-to-12-years-091224012646
Technical Lead - Production Support Analyst,Citiustech,5.0,13.0,"Pune, Mumbai (All Areas)",Preferred candidate profile . Familiarity with incident management processes. Good to h...,"Incident Management, Production Support, SQL, Incident, Technical leadership, Technical, Management, Production",13,https://www.naukri.com/job-listings-technical-lead-production-support-analyst-citiustech-pune-mumbai-all-areas-5-to-7-years-061224007666
Gen AI Developer,Infosys,3.0,10.0,"Pune, Gurugram, Bengaluru",No of years Experience : 3+ years of IT experience in AI / ML/DS Domain,"Artificial Intelligence, Machine learning, Data science, Deep Learning, Python, Tensorflow, Natural Language Processing, Computer Vision",23,https://www.naukri.com/job-listings-gen-ai-developer-infosys-pune-gurugram-bengaluru-3-to-5-years-261124011040
Project Leader - Azure Data Factory (ADF),Axtria,4.0,20.0,"Noida, Pune, Bengaluru",Axtria: -Axtria is a global provider of award-winning cloud software and data analytic...,"Azure Data Factory, Spark, ETL, Leadership, Project, Project leadership, Oracle ADF, Microsoft Azure",10,https://www.naukri.com/job-listings-project-leader-azure-data-factory-adf-axtria-noida-pune-bengaluru-4-to-9-years-210824014489
Power automate developer,Genpact,2.0,14.0,"Noida, Pune, Bengaluru","In this role, you will be developing robotic processes using Microsoft Power Automate ...","Power automate, RPA, Powerapps, Automation, Development",2,https://www.naukri.com/job-listings-power-automate-developer-genpact-noida-pune-bengaluru-2-to-6-years-171224016635
Senior Consultant,Capgemini,6.0,13.0,"Hyderabad, Pune, Bengaluru","Handson experience with CI / CD tools (GitLab, Jenkins, TeamCity etc) and methodologies...","Automation Selenium, Selenium Testing, Selenium Webdriver, Selenium Java, Consulting, Automation, Java, Selenium",2,https://www.naukri.com/job-listings-senior-consultant-capgemini-hyderabad-pune-bengaluru-6-to-10-years-171224012453
.Net Core with React - Pan India,Tech Mahindra,6.0,14.0,"Hyderabad, Pune, Bangalore Rural","Req Skills - .Net Core, React and SQL.Location PAN INDIA (Except Gurgaon)Exp 6 yr to 9...",".Net Core, SQL Server, React.Js, SQL, Core, Serv, .Net, Pan",27,https://www.naukri.com/job-listings-net-core-with-react-pan-india-tech-mahindra-hyderabad-pune-bangalore-rural-6-to-11-years-221124005890
NIFI Engineer,Tech Mahindra,4.0,11.0,"Hyderabad, Pune, Bengaluru",Experience with using Jupyter notebooks or any other developer tool,"NiFi Version 1.7.1, Java, NIFI, Apache, upyter notebooks, Apache Nifi, Notebook",29,https://www.naukri.com/job-listings-nifi-engineer-tech-mahindra-hyderabad-pune-bengaluru-4-to-7-years-201124009121
Collibra Data Quality (DQ) Specialist,Capgemini,6.0,22.0,"Pune, Chennai, Bengaluru","Collaborate with data owners for Customer, Vendor, and Material data fixes and Root Cau...","collibra, Data Quality, Data Lineage, Data Governance, Governance, Quality, Data",1,https://www.naukri.com/job-listings-collibra-data-quality-dq-specialist-capgemini-pune-chennai-bengaluru-6-to-11-years-181224015297
Cloud Engineer,Infosys,5.0,7.0,"Pune, Chennai, Bengaluru",Whilst automation skills arent required it would be added benefit,"Linux, Azure Cloud, AWS, azure, Microsoft Azure, Cloud",1,https://www.naukri.com/job-listings-cloud-engineer-infosys-pune-chennai-bengaluru-5-to-8-years-181224004038
RPA UiPath Developer / Support,Capgemini,2.0,7.0,"Pune, Chennai",RPA Solution Design & Development: Analyze business processes to identify automation o...,"Rpa, Uipath, Rpa Development, Robotic Process Automation, Automation, Robotic Process, Process, Rpa UI Path",1,https://www.naukri.com/job-listings-rpa-uipath-developer-support-capgemini-pune-chennai-2-to-6-years-181224016817
Deputy Business Development Manager,Tata AutoComp,6.0,9.0,Pune,"Requirement: Good Understanding of Automotive, EV, Off-Road, and Industrial markets of ...","Business Development, Business Strategy, Product Costing, Business Planning, New Product Development, New Business Development, RFQ, Sales Planning",0,https://www.naukri.com/job-listings-deputy-business-development-manager-tata-autocomp-pune-6-to-8-years-191224015651
EMI-EMC Engineer,Larsen & Toubro (L&T),3.0,6.0,Pune(Talegaon),"Bachelors Electronics Engineering, or related fieldProficiency in using EMI / EMC test ...","EMIC EMGINEER, Analytical, ESD, MIL-STD-461, NABL, ISO, quality focused, Calibration",0,https://www.naukri.com/job-listings-emi-emc-engineer-larsen-toubro-l-t-pune-3-to-8-years-191224005565
Packaging In charge / Dispatch In charge,Finolex Cables,10.0,4.0,Pune(Urse),"Preferred candidate profile . B Sc, BE, 10 to 15 years of experience, SAP knowledge,","SAP, steel drums, packaging of Wooden drums, wooden lagging, bubble paper, PP sheets, Packaging, PP",0,https://www.naukri.com/job-listings-packaging-in-charge-dispatch-in-charge-finolex-cables-pune-10-to-20-years-191224003335
Design Mechanism,Tech Mahindra,10.0,14.0,Pune,Maximum Exp in Deign Mechanism parts is mustShould be good in communicationShould be ca...,"passenger car, Mechanism, Trunk, Door, Window Mechanism, Bonnat, Tail Gate, Doors",2,https://www.naukri.com/job-listings-design-mechanism-tech-mahindra-pune-10-to-17-years-171224009758
Unit Head - Biomedical Engineer,Manipal Hospitals,5.0,7.0,Pune(Kharadi),Unit Head biomedical engineer,"Biomedical, Health Care Services, Medical Devices, Medical Equipment, Healthcare, Health, Equipment, UNIT",2,https://www.naukri.com/job-listings-unit-head-biomedical-engineer-manipal-hospitals-pune-5-to-7-years-171224007163
DBA- Senior DBA Engineer (MySQL DBA)-Paytm Money,Paytm,2.0,7.0,"Noida, Bengaluru, Mumbai (All Areas)",Should have basic understanding of MySQL development Should have good understanding on ...,"SQL Query Optimization, Database Migration, Performance Tuning, MySQL Workbench, MySQL Database Administration, Configuration Management, Data Migration, Schema Design",3,https://www.naukri.com/job-listings-dba-senior-dba-engineer-mysql-dba-paytm-money-paytm-noida-bengaluru-mumbai-all-areas-2-to-4-years-090824004622
Java Backend ! 4+ YRS ! Mumbai/Chennai,Tech Mahindra,4.0,14.0,"Navi Mumbai, Chennai",Role - Java DeveloperExp - 4+ YRSlOC - Mumbai/ChennaiRole & responsibilities Technical...,"Java, Spring Boot, Microservices, Hibernate, Backend, Boot, Spring",7,https://www.naukri.com/job-listings-java-backend-4-yrs-mumbai-chennai-tech-mahindra-navi-mumbai-chennai-4-to-9-years-121224007633
Territory Sales Manager - Pumps,Crompton Greaves Consumer Electricals,3.0,9.0,"Rajkot, Mumbai (All Areas)","Sales & CollectionPlan and achieve annual budget & collection, ROD plan deployed for t...","Channel Sales, Sales, Distributor Sales, Pumps, Territory sales, Distribution, Territory sales management, Management",1,https://www.naukri.com/job-listings-territory-sales-manager-pumps-crompton-greaves-consumer-electricals-rajkot-mumbai-all-areas-3-to-8-years-181224006216
Admission Counsellor,upGrad,0.0,2.0,Mumbai(Naka +2),JOB SCOPE ( Interested Applicants call - 8130564540 Saloni ) The ideal candidate for t...,"Sales, Career Counselling, Counselling, Calling, Enrollment, Admissions, Admission counselling, Career development",15,https://www.naukri.com/job-listings-admission-counsellor-upgrad-mumbai-0-to-1-years-041224018262
Pricing Manager,Dainik Bhaskar Group,5.0,13.0,Mumbai,"Experience: . 3-5 years experience in pricing, revenue management, Sales Planning or a ...","Pricing Strategy Development, Price List Management, Data Analysis and Reporting, Collaboration with Teams, Market Analysis, Analysis, Data, Team",6,https://www.naukri.com/job-listings-pricing-manager-dainik-bhaskar-group-mumbai-5-to-7-years-031224008420
Civil Design Engineer,Sterling And Wilson Renewable Energy,10.0,13.0,Mumbai(Chembur),Graduate or PG in Civil/Structural Engineering with experience in solar PV plant design...,"Pile Foundation, Staad Pro, Solar Energy, RCC, Structural Design, Renewable Energy, Steel Structures, Energy",7,https://www.naukri.com/job-listings-civil-design-engineer-sterling-and-wilson-renewable-energy-mumbai-10-to-12-years-071124007484
Physical Design Engineer,Einfochips,3.0,12.0,"Noida, Bangalore Rural, Ahmedabad",Working experience of Physical Design ImplementationWorking experience of Physical Veri...,"PNR, Physical Design, STA, Floor Planning, Timing Analysis, Timing Closure, Flooring, Timing",13,https://www.naukri.com/job-listings-physical-design-engineer-einfochips-noida-bangalore-rural-ahmedabad-3-to-5-years-160424009556
Delphi Developer,CGI Information Systems And Management Consultants,3.0,11.0,"Hyderabad, Chennai, Bengaluru",Employment Type: Full TimeExperience with .NET (Core) and Web APIs and MicroservicesMan...,"Net Development, Oops Programming, Delphi, SDLC, SQL Development, .Net, Development, OOPS",5,https://www.naukri.com/job-listings-delphi-developer-cgi-information-systems-and-management-consultants-hyderabad-chennai-bengaluru-3-to-8-years-141224004242
Career Counsellor || Simplilearn || Job Opportunity,Simplilearn,0.0,3.0,Bengaluru,Shift: Day Shift & Rotational Week Offs Desired Profile: . Bachelors degree in a techni...,"Outbound Calling, Admission Counselling, Student Counseling, academic counselling, Customer Service, Sales, Placement, Business Development",1,https://www.naukri.com/job-listings-career-counsellor-simplilearn-opportunity-simplilearn-bengaluru-0-to-2-years-181224006790
Service Engineer,Light Mechanics,2.0,5.0,Bengaluru,Desired Profile of the Candidate : . Background : Candidate should come from an Automat...,"Service Engineering, Electrical Maintenance, Servo Motors, HMI, Electronics Engineering, Motors, Electrical Drawing, Panel Wiring",6,https://www.naukri.com/job-listings-service-engineer-light-mechanics-bengaluru-2-to-5-years-131224917523
Java Technical Lead,V2soft,9.0,21.0,Bengaluru(Banashankari Stage II),Senior Java Fullstack Developer with Microservices (Preferred Cloud AWS Experience)Expe...,"Java, Cloud, Spring Boot, Microservices, Angular, Multithreading, React.Js, aws",6,https://www.naukri.com/job-listings-java-technical-lead-v2soft-bengaluru-9-to-14-years-131224018163
Tech Mahindra Hiring -Solutions Head -Bangalore,Tech Mahindra,20.0,62.0,Bengaluru,Solutions Head . Role & responsibilities . Min 20+ years of experience in leading deliv...,"ADAS and EV., SDV, AUTOSAR / ADAPTIVE AUTOSAR i, Body electronics, Digital Cockpit, BU Leadership for strategic planning, leading delivery/ solutions / consulting teams, Automotive OEM &Tier1",8,https://www.naukri.com/job-listings-tech-mahindra-hiring-solutions-head-bangalore-tech-mahindra-bengaluru-20-to-26-years-111224021111
IT Audit + Code Review(Bangalore),KPMG Assurance and Consulting Services LLP,3.0,12.0,Bengaluru,"Perform testing of IT Application Controls, IPE, and Interface Controls through code re...","ITGC, ITAC, IT Audit, SOC, Code Review, SOX, It General Controls, Review",8,https://www.naukri.com/job-listings-it-audit-code-review-bangalore-kpmg-assurance-and-consulting-services-llp-bengaluru-3-to-8-years-111224019687
