Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Engineer-Hardware Design,Bajaj Electricals,5.0,,Navi Mumbai,"Handle ambiguity in problem definition, have a good handle on business value and have t...","LED Drivers, Induction motor controllers, hardware designers, PWM drivers, Design, Motor Control, Induction motors, Hardware",7,https://www.naukri.com/job-listings-engineer-hardware-design-bajaj-electricals-ltd-navi-mumbai-5-to-10-years-121224008417
Assistant Manager- Business Intelligence,PUMA Sports India Pvt Ltd.,4.0,,Bengaluru,"3-5 years of experience in Power BI development, strong team and stakeholder management...","Power Bi, Dashboards, Python, SQL, Management, Bi, Business intelligence, Assistance",16,https://www.naukri.com/job-listings-assistant-manager-business-intelligence-puma-sports-india-pvt-ltd-bengaluru-4-to-7-years-031224006073
Security Architect,Accenture,5.0,,Mumbai,Educational Qualification : 15 years full time education. Summary :As a Security Archit...,"cloud security, security framework, servicenow, security engineering, grc, risk management, security assessment, cyber security",13,https://www.naukri.com/job-listings-security-architect-accenture-solutions-pvt-ltd-mumbai-5-to-10-years-061224914871
SOC Analyst,Jio,2.0,,Navi Mumbai,B.E/B.Tech in Computer Science or related field with 2+ years in cyber security and rel...,"Sentinel, Logrhythm, SOC analyst, SIEM, Security Operations Center, IBM QRadar, Deception, ELK stack.",10,https://www.naukri.com/job-listings-soc-analyst-jio-navi-mumbai-2-to-5-years-230424009267
Full Stack Engineer,Accenture,3.0,,Mumbai,Project Role :Full Stack EngineerProject Role Description :Responsible for developing a...,"machine learning, business intelligence, machine learning algorithms, statistics, data munging, algorithms, python, data analysis",2,https://www.naukri.com/job-listings-full-stack-engineer-accenture-solutions-pvt-ltd-mumbai-3-to-8-years-161224915820
Manager_D365 CRM Technical_MS Dynamics_Advisory,Pricewaterhouse Coopers Private Limited,7.0,,Bengaluru,Responsibilities Microsoft Dynamics 365 Online Application (Sales or Service)...,"Data migration, GIT, html5, Consulting, Javascript, Microsoft Dynamics, Middleware, Operations",1,https://www.naukri.com/job-listings-manager-d365-crm-technical-ms-dynamics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-7-to-10-years-181224505508
Application Support Engineer,Accenture,2.0,,Hyderabad,Minimum . 2 year(s) of experience is required. Educational Qualification : 15 years ful...,"itil framework, epic, system architecture, application support, troubleshooting, project management, oracle, us healthcare",0,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-hyderabad-2-to-7-years-191224917547
3DEXPERIENCE Simulia Expert,Indian Register of Shipping,3.0,,Mumbai(Powai),"Preferred candidate profile . Bachelors or masters degree in mechanical engineering, Ma...","SIMULIA, 3Dexperience, Integration, FEA, HYPERMESH",2,https://www.naukri.com/job-listings-3dexperience-simulia-expert-indian-register-of-shipping-mumbai-3-to-4-years-090724011870
"STAFF, TECHNICAL PROGRAM MANAGER",Walmart,7.0,,Bengaluru,"Experience building processes, project management, and complex program schedules:Option...","Product management, Architecture, Networking, Project management, Manager Program Management, Consulting, Agile, Information technology",0,https://www.naukri.com/job-listings-staff-technical-program-manager-walmart-labs-bengaluru-7-to-12-years-191224500184
"R&D Engineering, Engineer",Synopsys,1.0,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","BTech / M Tech in CS / EE from a reputed institute 1+ years of experience in designing,...","Unix, Automation, VHDL, Coding, FPGA, Verilog, Debugging, Data structures",30,https://www.naukri.com/job-listings-r-d-engineering-engineer-synopsys-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-6-years-120824501691
